ID_nr;Call_Number
A021;1499_Rott_Jans
A022;1499_Rott_Jans
A003;1507_Beek_Trec
A001;1509_Zier_Anon
A005;1526_Zwol_Stee
A007;1535_Gron_Anon
A008;1542_Gent_Anon
A012;1545_Kuri_Munt
A009;1551_Kamp_Herm
A010;1551_Kamp_Herm
A011;1551_Kamp_Herm
A014;1551_Kamp_Herm
A013;1553_Utre_Mijn
A016;1558_Bosc_Cupe
A015;1558_Brus_Anon
A017;1567_Amst_Bies
A018;1567_Amst_Reae
A019;1568_Gent_Anon
A020;1568_Gent_Vaer
A228;1568_Leeu_Joos
A023;1571_Gent_Camp
A024;1571_Gent_Camp
A028;1574_Antw_Ano1
A026;1574_Antw_Ano2
A027;1574_Antw_Haec
A029;1575_Bosc_Anon
A030;1575_Purm_Roll
A033;1576_Utre_Anon
A034;1576_Zier_Clae
A035;1577_Utre_Anon
A036;1579_Amst_Maes_01
A036;1579_Amst_Maes_02
A037;1579_Gent_Anon
A038;1580_Antw_Wese
A039;1581_Haar_Verw
A040;1582_Stee_Steg
A041;1583_Bilt_ErpH
A255;1583_Bilt_ErpH
A256;1583_Bilt_ErpH
A042;1584_Brug_Weyd
A043;1587_Iepe_Anon
A239;1587_Mech_Wach
A044;1587_Weer_Luyt
A045;1589_Gron_Eppe
A046;1592_Cule_Vrem
A047;1593_Gent_Copp_01
A047;1593_Gent_Copp_02
A047;1593_Gent_Copp_03
A240;1594_Gron_Alti
A050;1594_Leuv_Boon
A025;1595_Iepe_Hern_01
A025;1595_Iepe_Hern_02
A025;1595_Iepe_Hern_04
A025;1595_Iepe_Hern_05
A025;1595_Iepe_Hern_06
A025;1595_Iepe_Hern_07
A051;1602_Brus_Pott
A053;1606_Gron_Anon
A052;1609_Bosc_Anon
A054;1609_Oist_Hoev
A055;1610_Gent_Vooc
A056;1620_Midd_Rech
A057;1621_Alkm_Anon
A058;1623_Deve_Haex
A059;1628_Alkm_Wijn
A060;1628_Alkm_Wijn
A061;1628_Alkm_Wijn
A148;1629_Doet_Duys
A134;1632_Amer_Anon
A062;1632_Gent_Vive
A063;1635_Utre_Jonk
A064;1636_Bild_Jans
A065;1636_Hauw_Baer
A066;1638_Roer_Kamp_01
A067;1638_Roer_Kamp_01
A066;1638_Roer_Kamp_02
A067;1638_Roer_Kamp_02
A068;1643_Antw_Bate
A069;1646_Gron_Gijs
A070;1648_Rott_Anon
A076;1648_Rott_Anon
A071;1649_Tien_Goos
A072;1652_Rijp_Dirc
A073;1657_Mech_Beth
A075;1658_Rott_Anon
A076;1658_Rott_Anon
A077;1665_Mech_Vrin
A078;1666_Gent_Bill_01
A078;1666_Gent_Bill_02
A078;1666_Gent_Bill_03
A078;1666_Gent_Bill_05
A078;1666_Gent_Bill_06
A079;1668_Dord_Gode
A078;1668_Gent_Bill_01
A078;1668_Gent_Bill_02
A078;1668_Gent_Bill_03
A078;1668_Gent_Bill_04
A078;1668_Gent_Bill_05
A078;1668_Gent_Bill_06
A078;1668_Gent_Bill_07
A078;1668_Gent_Bill_08
A078;1668_Gent_Bill_09
A078;1668_Gent_Bill_10
A078;1668_Gent_Bill_11
A078;1668_Gent_Bill_12
A081;1671_Mede_Oppe
A082;1671_Rott_Lois
A083;1672_Amst_Anon
A085;1675_Gent_Cler
A084;1675_Utre_Boot
A086;1680_Mech_Vale
A087;1681_Brus_Anon
A088;1681_Zwol_Catt
A238;1683_Brus_Jaki
A076;1687_Rott_Anon
A249;1687_Rott_Anon
A252;1687_Rott_Anon
A091;1690_Rott_Anon
A092;1695_Iepe_Anon
A080;1697_Leeu_Vitr_01
A080;1697_Leeu_Vitr_02
A080;1697_Leeu_Vitr_03
A094;1699_Bosc_Anon
A095;1700_Haar_Vinn
A096;1703_Rott_Brou
A097;1703_Venl_Put
A098;1713_Hout_Dres
A099;1713_Kort_Mael
A100;1716_Jisp_Gert
A101;1718_Dron_Rouc
A102;1719_Brus_Hage
A104;1719_Tong_Anon
A105;1720_Brus_Anon
A106;1721_Antw_Anon
A107;1722_Huiz_Lust
A108;1724_Oost_Daal
A109;1725_Antw_Anon
A110;1735_Dokk_Hesm
A250;1735_Dokk_Hesm
A111;1744_Brus_Anon
A112;1745_Kort_Anon
A114;1747_Amst_Boer
A236;1747_Phil_Over
A113;1747_Utre_Woer
A115;1748_Berg_Folk
A116;1748_Leeu_Vege
A117;1749_Haar_Barn
A118;1749_Loke_Smet
A119;1749_Loke_Smet
A120;1749_Loke_Smet
A121;1749_Loke_Smet
A122;1749_Maas_Anon
A123;1749_Rott_Sche
A124;1750_Gent_Anon
A125;1751_Kort_Roye
A237;1752_Zaan_Kraa
A126;1752_Zaan_Veen
A127;1753_Vars_Verm
A128;1753_Vlis_Anon
A233;1753_Waas_Anon
A244;1754_Loss_Leur
A103;1755_Hoor_Spru_01
A103;1755_Hoor_Spru_02
A130;1755_Leuv_Anon
A234;1756_Waas_Anon_01
A235;1756_Waas_Anon_01
A234;1756_Waas_Anon_02
A235;1756_Waas_Anon_02
A131;1758_Maas_Anon
A132;1759_Hoeg_Kemp
A251;1759_Hoeg_Kemp
A133;1760_Alkm_Bont
A122;1762_Maas_Anon
A135;1762_Maas_Anon
A136;1766_Mech_Beth
A245;1770_Kate_Pols
A137;1772_Amst_Bikk
A139;1776_Hale_Anon
A093;1776_Mech_Nieu_01
A093;1776_Mech_Nieu_02
A093;1776_Mech_Nieu_03
A093;1776_Mech_Nieu_04
A093;1776_Mech_Nieu_05
A191;1779_Spaa_Beer
A089;1781_Brug_Ledo
A090;1781_Brug_Ledo
A141;1785_Leeu_Sluy
A142;1786_Mech_Munc
A143;1787_Fran_Anon
A144;1787_Gent_Anon_01
A144;1787_Gent_Anon_02
A090;1790_Brug_Ledo
A151;1790_Mech_Wijn
A153;1792_Brie_Klui_01
A153;1792_Brie_Klui_02
A153;1792_Brie_Klui_03
A153;1792_Brie_Klui_04
A153;1792_Brie_Klui_05
A153;1792_Brie_Klui_06
A153;1792_Brie_Klui_07
A153;1792_Brie_Klui_08
A153;1792_Brie_Klui_09
A153;1792_Brie_Klui_10
A153;1792_Brie_Klui_11
A156;1793_Bred_Ouko
A146;1794_Bosc_Acke_01
A146;1794_Bosc_Acke_02
A157;1794_Goud_Anon
A160;1794_Zwol_Door
A161;1795_Deve_Jord
A162;1795_Harl_Tous
A163;1795_Maas_Loye
A253;1795_Maas_Loye
A164;1795_Mege_Loef
A165;1795_Zalt_Kist
A166;1796_Antw_Aars
A167;1796_Leeu_Buma
A152;1796_Purm_Louw_01
A152;1796_Purm_Louw_02
A152;1796_Purm_Louw_03
A152;1796_Purm_Louw_04
A152;1796_Purm_Louw_05
A168;1797_Alkm_Anon
A169;1797_Brst_Mori
A147;1798_Brus_Anon
A147;1798_Brus_Anon
A199;1799_Roer_Schr
A171;1800_Brug_Wall_01
A171;1800_Brug_Wall_02
A171;1800_Brug_Wall_03
A171;1800_Brug_Wall_04
A171;1800_Brug_Wall_05
A171;1800_Brug_Wall_06
A171;1800_Brug_Wall_07
A171;1800_Brug_Wall_08
A171;1800_Brug_Wall_09
A171;1800_Brug_Wall_10
A171;1800_Brug_Wall_11
A171;1800_Brug_Wall_12
A171;1800_Brug_Wall_13
A172;1800_Zier_Reij
A173;1801_Hilv_Jage
A174;1801_Huis_Anon
A170;1802_Brus_Anon
A198;1802_Roer_Rama
A176;1802_Venl_Post
A177;1802_Weer_Goof
A180;1805_Haar_Vinn
A140;1806_Rott_Beef
A181;1807_Enkh_Hoog
A182;1807_Leuv_Pelc_01
A182;1807_Leuv_Pelc_02
A182;1807_Leuv_Pelc_03
A182;1807_Leuv_Pelc_04
A182;1807_Leuv_Pelc_05
A182;1807_Leuv_Pelc_06
A182;1807_Leuv_Pelc_07
A182;1807_Leuv_Pelc_08
A182;1807_Leuv_Pelc_09
A182;1807_Leuv_Pelc_10
A182;1807_Leuv_Pelc_11
A182;1807_Leuv_Pelc_12
A182;1807_Leuv_Pelc_13
A182;1807_Leuv_Pelc_14
A182;1807_Leuv_Pelc_15
A183;1808_Gent_Quic
A184;1808_Stee_Verv
A186;1813_Haag_Baak
A187;1813_Zaan_Dekk
A241;1814_Koog_Boov
A242;1814_Koog_Boov
A188;1814_Leeu_Stor
A189;1814_Twis_Kamp
A190;1814_Worm_Ding
A191;1816_Amst_Beer
A194;1817_Antw_Stra_01
A195;1817_Antw_Stra_01
A194;1817_Antw_Stra_02
A195;1817_Antw_Stra_02
A194;1817_Antw_Stra_03
A195;1817_Antw_Stra_03
A194;1817_Antw_Stra_04
A195;1817_Antw_Stra_04
A194;1817_Antw_Stra_05
A195;1817_Antw_Stra_05
A194;1817_Antw_Stra_06
A195;1817_Antw_Stra_06
A194;1817_Antw_Stra_07
A195;1817_Antw_Stra_07
A194;1817_Antw_Stra_08
A195;1817_Antw_Stra_08
A192;1818_Broe_Bakk
A193;1818_Nijm_Beto
A196;1819_Binn_Kars
A197;1819_Roer_Loos
A202;1820_Rhen_Vree
A178;1820_Zier_Groe
A179;1821_Brus_Goet_01
A203;1821_Brus_Goet_02
A203;1821_Brus_Goet_03
A204;1823_Zaan_Groo
A205;1825_Brug_Verb
A206;1825_Oude_Rant_01
A206;1825_Oude_Rant_02
A207;1826_Amel_Sorg
A254;1826_Hoor_Voor_01
A254;1826_Hoor_Voor_02
A254;1826_Hoor_Voor_03
A254;1826_Hoor_Voor_04
A254;1826_Hoor_Voor_05
A138;1826_Snee_Napj_01
A138;1826_Snee_Napj_02
A208;1829_Leuv_Hous
A209;1830_Tilb_Leli
A210;1831_Roer_Beri
A211;1835_Gent_Call_01
A211;1835_Gent_Call_02
A211;1835_Gent_Call_03
A211;1835_Gent_Call_04
A211;1835_Gent_Call_05
A211;1835_Gent_Call_06
A212;1835_Leuv_Lame
A158;1838_Hoor_Anon_01
A158;1838_Hoor_Anon_02
A213;1844_Heez_Moor
A149;1846_Antw_Coni_01
A149;1846_Antw_Coni_02
A149;1846_Antw_Coni_03
A149;1846_Antw_Coni_04
A215;1851_Zier_Bloo
A217;1853_Drac_Meer
A218;1853_Drac_Meer
A219;1854_Tilb_Beer_01
A219;1854_Tilb_Beer_02
A219;1854_Tilb_Beer_03
A222;1855_Kort_Fill_01
A222;1855_Kort_Fill_02
A222;1855_Kort_Fill_03
A222;1855_Kort_Fill_04
A222;1855_Kort_Fill_05
A222;1855_Kort_Fill_06
A222;1855_Kort_Fill_07
A223;1855_Popp_Jong
A224;1856_Wird_Hell
A225;1858_Delf_Stre
A226;1859_Nijm_Drui
A227;1859_Nijm_Drui
A129;1863_Izeg_Tang
A231;1876_Nieu_Rybe
A232;1899_Grou_Haag